transaction_id,processor,country,payment_method,amount,currency,status,created_at,captured_at
CT-202608-00114,dLocal,MX,credit_card,2582.39,MXN,captured,2026-08-11,2026-08-11
CT-202608-00115,PayU Latam,CO,pse,1553946,COP,captured,2026-07-19,2026-07-19
CT-202608-00116,dLocal,CO,pse,21650,COP,captured,2026-08-10,2026-08-10
CT-202608-00117,PayU Latam,CO,credit_card,1611178,COP,captured,2026-07-28,2026-07-28
CT-202608-00118,dLocal,MX,spei,8147.41,MXN,captured,2026-07-20,2026-07-21
CT-202608-00119,Adyen,MX,debit_card,2910.00,MXN,captured,2026-08-07,2026-08-07
CT-202608-00120,dLocal,BR,pix,762.10,BRL,captured,2026-07-25,2026-07-25
CT-202608-00121,dLocal,BR,pix,1436.18,BRL,captured,2026-07-24,2026-07-24
CT-202608-00122,Stripe,US,debit_card,398.01,USD,captured,2026-07-17,2026-07-18
CT-202608-00123,Adyen,BR,pix,1184.76,BRL,captured,2026-07-19,2026-07-19
CT-202608-00124,Stripe,US,debit_card,92.59,USD,captured,2026-07-30,2026-07-30
CT-202608-00125,Adyen,US,debit_card,151.69,USD,captured,2026-07-16,2026-07-16
CT-202608-00126,Adyen,BR,debit_card,1459.22,BRL,captured,2026-08-14,2026-08-14
CT-202608-00127,Adyen,BR,pix,447.05,BRL,authorized,2026-07-16,
CT-202608-00128,dLocal,CO,credit_card,1689355,COP,captured,2026-08-13,2026-08-13
CT-202608-00129,PayU Latam,CO,pse,1617685,COP,captured,2026-08-09,2026-08-09
CT-202608-00130,dLocal,BR,pix,550.86,BRL,authorized,2026-08-09,
CT-202608-00131,Adyen,BR,credit_card,443.12,BRL,failed,2026-07-24,
CT-202608-00132,Adyen,BR,credit_card,523.45,BRL,refunded,2026-07-28,2026-07-28
CT-202608-00133,PayU Latam,CO,cash,1345894,COP,captured,2026-08-11,2026-08-11
CT-202608-00134,dLocal,BR,credit_card,672.45,BRL,captured,2026-07-31,2026-07-31
CT-202608-00135,dLocal,BR,pix,1596.71,BRL,captured,2026-08-10,2026-08-10
CT-202608-00136,Adyen,BR,pix,48.44,BRL,captured,2026-08-12,2026-08-12
CT-202608-00137,Adyen,MX,credit_card,4353.72,MXN,refunded,2026-08-13,2026-08-13
CT-202608-00138,dLocal,BR,credit_card,1482.53,BRL,captured,2026-08-10,2026-08-11
CT-202608-00139,dLocal,CO,credit_card,1849867,COP,authorized,2026-07-29,
CT-202608-00140,Adyen,MX,credit_card,2562.32,MXN,captured,2026-07-21,2026-07-21
CT-202608-00141,dLocal,CO,credit_card,178515,COP,captured,2026-07-24,2026-07-25
CT-202608-00142,Adyen,BR,credit_card,979.74,BRL,captured,2026-08-11,2026-08-12
CT-202608-00143,dLocal,CO,credit_card,1936190,COP,captured,2026-07-19,2026-07-19
CT-202608-00144,Stripe,MX,oxxo,5029.15,MXN,captured,2026-08-11,2026-08-12
CT-202608-00145,dLocal,BR,pix,2452.47,BRL,captured,2026-08-01,2026-08-01
CT-202608-00146,Stripe,US,debit_card,397.29,USD,captured,2026-07-22,2026-07-22
CT-202608-00147,Adyen,US,debit_card,184.04,USD,captured,2026-08-08,2026-08-08
CT-202608-00148,PayU Latam,CO,credit_card,139387,COP,captured,2026-07-17,2026-07-18
CT-202608-00149,Adyen,MX,debit_card,4498.78,MXN,captured,2026-07-29,2026-07-30
CT-202608-00150,dLocal,BR,credit_card,2290.71,BRL,captured,2026-07-28,2026-07-28
CT-202608-00151,PayU Latam,CO,pse,225245,COP,captured,2026-07-21,2026-07-21
CT-202608-00152,dLocal,CO,credit_card,310076,COP,captured,2026-07-25,2026-07-25
CT-202608-00153,dLocal,CO,credit_card,1977600,COP,captured,2026-07-23,2026-07-23
CT-202608-00154,Stripe,US,credit_card,375.49,USD,captured,2026-07-28,2026-07-28
CT-202608-00155,dLocal,CO,credit_card,1594973,COP,captured,2026-08-08,2026-08-08
CT-202608-00156,Stripe,US,debit_card,192.34,USD,authorized,2026-07-27,
CT-202608-00157,dLocal,BR,credit_card,1763.80,BRL,captured,2026-07-16,2026-07-16
CT-202608-00158,dLocal,BR,credit_card,1540.95,BRL,refunded,2026-07-31,2026-07-31
CT-202608-00159,Stripe,US,debit_card,234.25,USD,captured,2026-07-30,2026-07-30
CT-202608-00160,Adyen,US,debit_card,337.88,USD,captured,2026-07-17,2026-07-17
CT-202608-00161,Adyen,BR,debit_card,2032.39,BRL,captured,2026-08-13,2026-08-13
CT-202608-00162,Stripe,MX,oxxo,3746.10,MXN,authorized,2026-07-16,
CT-202608-00163,Adyen,MX,credit_card,2500.78,MXN,captured,2026-07-20,2026-07-20
CT-202608-00164,dLocal,BR,credit_card,1480.43,BRL,captured,2026-08-01,2026-08-02
CT-202608-00165,Adyen,US,credit_card,96.51,USD,captured,2026-08-12,2026-08-12
CT-202608-00166,Stripe,MX,oxxo,6390.20,MXN,captured,2026-07-26,2026-07-26
CT-202608-00167,Adyen,MX,credit_card,4420.19,MXN,captured,2026-08-03,2026-08-03
CT-202608-00168,dLocal,MX,credit_card,8437.38,MXN,refunded,2026-08-03,2026-08-03
CT-202608-00169,Stripe,US,credit_card,396.61,USD,captured,2026-07-18,2026-07-18
CT-202608-00170,Adyen,MX,debit_card,3230.04,MXN,captured,2026-08-11,2026-08-11
CT-202608-00171,dLocal,CO,pse,483458,COP,captured,2026-08-12,2026-08-12
CT-202608-00172,Adyen,BR,credit_card,1812.19,BRL,captured,2026-07-18,2026-07-18
CT-202608-00173,Adyen,MX,debit_card,3808.68,MXN,failed,2026-07-16,
CT-202608-00174,dLocal,CO,credit_card,1163029,COP,captured,2026-07-23,2026-07-23
CT-202608-00175,Stripe,MX,credit_card,8862.48,MXN,captured,2026-08-03,2026-08-03
CT-202608-00176,Adyen,MX,credit_card,2057.25,MXN,captured,2026-07-30,2026-07-30
CT-202608-00177,Adyen,MX,debit_card,6007.01,MXN,captured,2026-08-06,2026-08-06
CT-202608-00178,dLocal,MX,credit_card,8019.09,MXN,captured,2026-07-23,2026-07-23
CT-202608-00179,dLocal,CO,pse,1191780,COP,captured,2026-08-04,2026-08-04
CT-202608-00180,dLocal,CO,pse,25494,COP,failed,2026-07-29,
CT-202608-00181,dLocal,CO,credit_card,914269,COP,captured,2026-07-18,2026-07-18
CT-202608-00182,Stripe,MX,credit_card,3097.65,MXN,authorized,2026-07-26,
CT-202608-00183,Stripe,US,debit_card,327.51,USD,captured,2026-07-31,2026-08-01
CT-202608-00184,Adyen,BR,debit_card,1955.13,BRL,captured,2026-07-17,2026-07-18
CT-202608-00185,Adyen,BR,debit_card,2140.49,BRL,captured,2026-07-17,2026-07-17
CT-202608-00186,PayU Latam,CO,cash,1647278,COP,captured,2026-07-29,2026-07-30
CT-202608-00187,Adyen,US,debit_card,413.43,USD,refunded,2026-07-22,2026-07-22
CT-202608-00188,Stripe,MX,credit_card,3846.32,MXN,captured,2026-07-29,2026-07-29
CT-202608-00189,Stripe,US,debit_card,333.21,USD,captured,2026-07-26,2026-07-26
CT-202608-00190,Adyen,MX,debit_card,843.41,MXN,authorized,2026-07-29,
CT-202608-00191,Stripe,US,debit_card,207.90,USD,failed,2026-07-22,
CT-202608-00192,dLocal,CO,credit_card,513382,COP,captured,2026-07-20,2026-07-21
CT-202608-00193,Adyen,BR,pix,504.37,BRL,captured,2026-08-10,2026-08-10
CT-202608-00194,Adyen,MX,credit_card,1296.02,MXN,authorized,2026-08-13,
CT-202608-00195,Stripe,US,credit_card,51.56,USD,captured,2026-07-21,2026-07-21
CT-202608-00196,Adyen,MX,credit_card,3982.12,MXN,captured,2026-08-13,2026-08-13
CT-202608-00197,Adyen,BR,credit_card,1138.64,BRL,captured,2026-08-02,2026-08-03
CT-202608-00198,dLocal,MX,spei,3454.31,MXN,captured,2026-08-12,2026-08-12
CT-202608-00199,dLocal,BR,credit_card,1258.15,BRL,captured,2026-07-26,2026-07-26
CT-202608-00200,dLocal,BR,pix,1270.26,BRL,failed,2026-07-16,
CT-202608-00201,PayU Latam,CO,cash,911867,COP,captured,2026-07-26,2026-07-26
CT-202608-00202,Adyen,US,debit_card,385.47,USD,authorized,2026-07-18,
CT-202608-00203,Stripe,MX,credit_card,8942.14,MXN,captured,2026-07-26,2026-07-26
CT-202608-00204,Adyen,MX,debit_card,2767.18,MXN,captured,2026-08-05,2026-08-06
CT-202608-00205,Adyen,BR,debit_card,1775.85,BRL,captured,2026-08-01,2026-08-01
CT-202608-00206,dLocal,CO,credit_card,727852,COP,authorized,2026-08-10,
CT-202608-00207,Stripe,US,debit_card,475.55,USD,refunded,2026-08-09,2026-08-09
CT-202608-00208,dLocal,MX,spei,1538.04,MXN,captured,2026-08-08,2026-08-08
CT-202608-00209,PayU Latam,CO,cash,716151,COP,captured,2026-07-24,2026-07-25
CT-202608-00210,dLocal,BR,credit_card,392.27,BRL,captured,2026-08-05,2026-08-05
CT-202608-00211,Adyen,US,credit_card,25.86,USD,captured,2026-07-25,2026-07-25
CT-202608-00212,Stripe,US,debit_card,126.54,USD,captured,2026-07-21,2026-07-21
CT-202608-00213,Stripe,MX,credit_card,1138.05,MXN,authorized,2026-07-25,
CT-202608-00214,Adyen,BR,credit_card,1035.25,BRL,captured,2026-08-07,2026-08-07
CT-202608-00215,Adyen,US,debit_card,98.35,USD,captured,2026-07-21,2026-07-22
CT-202608-00216,dLocal,MX,spei,6646.73,MXN,captured,2026-08-05,2026-08-05
CT-202608-00217,dLocal,MX,credit_card,4410.44,MXN,captured,2026-08-02,2026-08-02
CT-202608-00218,Adyen,MX,credit_card,175.49,MXN,refunded,2026-08-11,2026-08-11
CT-202608-00219,Stripe,MX,credit_card,2161.55,MXN,captured,2026-08-10,2026-08-10
CT-202608-00220,Adyen,US,credit_card,392.66,USD,captured,2026-07-20,2026-07-20
CT-202608-00221,dLocal,CO,credit_card,1795914,COP,captured,2026-07-24,2026-07-24
CT-202608-00222,Stripe,US,debit_card,231.85,USD,captured,2026-07-18,2026-07-18
CT-202608-00223,Stripe,US,credit_card,195.03,USD,captured,2026-07-24,2026-07-24
CT-202608-00224,Adyen,US,credit_card,461.45,USD,captured,2026-07-20,2026-07-20
CT-202608-00225,dLocal,CO,pse,1540358,COP,failed,2026-08-06,
CT-202608-00226,Adyen,BR,credit_card,319.73,BRL,captured,2026-08-09,2026-08-10
CT-202608-00227,PayU Latam,CO,credit_card,991949,COP,captured,2026-07-16,2026-07-16
CT-202608-00228,Stripe,US,debit_card,44.93,USD,refunded,2026-07-16,2026-07-16
CT-202608-00229,dLocal,BR,credit_card,1742.65,BRL,captured,2026-08-04,2026-08-04
CT-202608-00230,dLocal,CO,credit_card,811577,COP,captured,2026-08-11,2026-08-12
CT-202608-00231,PayU Latam,CO,credit_card,346475,COP,authorized,2026-08-09,
CT-202608-00232,dLocal,MX,credit_card,3319.88,MXN,authorized,2026-07-23,
CT-202608-00233,PayU Latam,CO,pse,611894,COP,captured,2026-08-02,2026-08-02
CT-202608-00234,Stripe,US,credit_card,349.78,USD,captured,2026-08-13,2026-08-13
CT-202608-00235,Adyen,BR,debit_card,748.06,BRL,captured,2026-08-07,2026-08-08
CT-202608-00236,dLocal,BR,credit_card,2349.44,BRL,captured,2026-07-29,2026-07-30
CT-202608-00237,Stripe,US,debit_card,242.76,USD,captured,2026-07-17,2026-07-17
CT-202608-00238,dLocal,BR,credit_card,491.56,BRL,captured,2026-08-07,2026-08-07
CT-202608-00239,Stripe,MX,oxxo,7294.78,MXN,captured,2026-08-07,2026-08-07
CT-202608-00240,Stripe,MX,credit_card,7853.73,MXN,failed,2026-08-08,
CT-202608-00241,Adyen,US,debit_card,214.12,USD,authorized,2026-07-16,
CT-202608-00242,dLocal,BR,credit_card,1082.37,BRL,authorized,2026-07-20,
CT-202608-00243,dLocal,CO,credit_card,1639026,COP,captured,2026-07-20,2026-07-20
CT-202608-00244,dLocal,CO,credit_card,801348,COP,authorized,2026-08-10,
CT-202608-00245,dLocal,CO,credit_card,1084905,COP,captured,2026-07-16,2026-07-16
CT-202608-00246,dLocal,CO,pse,1658166,COP,captured,2026-07-27,2026-07-27
CT-202608-00247,dLocal,MX,spei,7108.25,MXN,captured,2026-08-05,2026-08-05
CT-202608-00248,Adyen,MX,debit_card,6332.75,MXN,refunded,2026-08-11,2026-08-11
CT-202608-00249,Adyen,BR,credit_card,2291.25,BRL,captured,2026-08-02,2026-08-02
CT-202608-00250,Stripe,US,debit_card,30.99,USD,captured,2026-08-05,2026-08-05
CT-202608-00251,Stripe,MX,oxxo,8100.75,MXN,captured,2026-08-08,2026-08-08
CT-202608-00252,dLocal,BR,credit_card,993.07,BRL,captured,2026-07-30,2026-07-30
CT-202608-00253,dLocal,CO,credit_card,827836,COP,captured,2026-07-30,2026-07-31
CT-202608-00254,dLocal,BR,credit_card,877.94,BRL,captured,2026-08-14,2026-08-14
CT-202608-00255,PayU Latam,CO,pse,870345,COP,captured,2026-08-03,2026-08-04
CT-202608-00256,dLocal,CO,pse,799654,COP,captured,2026-08-10,2026-08-10
CT-202608-00257,Stripe,US,debit_card,226.22,USD,captured,2026-08-05,2026-08-05
CT-202608-00258,dLocal,BR,credit_card,1780.69,BRL,captured,2026-07-24,2026-07-24
CT-202608-00259,Adyen,US,debit_card,187.95,USD,captured,2026-08-02,2026-08-02
CT-202608-00260,Adyen,MX,debit_card,527.96,MXN,authorized,2026-08-03,
CT-202608-00261,dLocal,BR,credit_card,1841.04,BRL,captured,2026-07-18,2026-07-18
CT-202608-00262,dLocal,BR,pix,2139.77,BRL,captured,2026-07-18,2026-07-18
CT-202608-00263,dLocal,BR,credit_card,1142.44,BRL,captured,2026-08-04,2026-08-05
CT-202608-00264,Adyen,BR,debit_card,1401.27,BRL,captured,2026-08-04,2026-08-04
CT-202608-00265,dLocal,CO,credit_card,465762,COP,authorized,2026-07-27,
CT-202608-00266,Stripe,MX,credit_card,5189.52,MXN,captured,2026-07-21,2026-07-22
CT-202608-00267,Adyen,US,credit_card,499.88,USD,captured,2026-07-20,2026-07-20
CT-202608-00268,Stripe,MX,credit_card,1604.21,MXN,captured,2026-08-04,2026-08-04
CT-202608-00269,Adyen,US,debit_card,126.91,USD,captured,2026-07-27,2026-07-27
CT-202608-00270,dLocal,MX,spei,1830.53,MXN,captured,2026-07-23,2026-07-24
CT-202608-00271,Adyen,US,credit_card,417.95,USD,captured,2026-07-16,2026-07-16
CT-202608-00272,Adyen,MX,credit_card,8601.91,MXN,captured,2026-07-29,2026-07-29
CT-202608-00273,Adyen,US,debit_card,225.68,USD,captured,2026-07-16,2026-07-17
CT-202608-00274,Adyen,US,credit_card,66.58,USD,captured,2026-08-13,2026-08-13
CT-202608-00275,Adyen,BR,pix,1377.89,BRL,captured,2026-07-30,2026-07-30
CT-202608-00276,Adyen,US,debit_card,347.35,USD,authorized,2026-08-08,
CT-202608-00277,PayU Latam,CO,cash,1229386,COP,authorized,2026-07-21,
CT-202608-00278,Stripe,US,credit_card,428.09,USD,captured,2026-08-08,2026-08-08
CT-202608-00279,dLocal,BR,pix,1015.30,BRL,authorized,2026-07-17,
CT-202608-00280,dLocal,MX,credit_card,2947.63,MXN,authorized,2026-07-28,
CT-202608-00281,Adyen,US,debit_card,142.57,USD,authorized,2026-08-10,
CT-202608-00282,PayU Latam,CO,pse,38241,COP,captured,2026-07-19,2026-07-19
CT-202608-00283,Adyen,MX,credit_card,1084.03,MXN,captured,2026-07-28,2026-07-28
CT-202608-00284,dLocal,MX,credit_card,6940.98,MXN,captured,2026-07-20,2026-07-20
CT-202608-00285,Stripe,US,debit_card,367.21,USD,captured,2026-07-20,2026-07-20
CT-202608-00286,dLocal,MX,spei,4814.24,MXN,captured,2026-07-28,2026-07-28
CT-202608-00287,dLocal,CO,credit_card,206040,COP,authorized,2026-08-12,
CT-202608-00288,PayU Latam,CO,pse,1582226,COP,failed,2026-07-31,
CT-202608-00289,PayU Latam,CO,credit_card,262838,COP,captured,2026-08-14,2026-08-14
CT-202608-00290,Adyen,BR,pix,27.13,BRL,authorized,2026-07-31,
CT-202608-00291,Adyen,US,debit_card,9.56,USD,refunded,2026-08-07,2026-08-07
CT-202608-00292,Adyen,US,debit_card,110.38,USD,refunded,2026-07-18,2026-07-18
CT-202608-00293,dLocal,CO,credit_card,1291031,COP,captured,2026-08-10,2026-08-10
CT-202608-00294,dLocal,CO,pse,1360467,COP,captured,2026-07-25,2026-07-25
CT-202608-00295,dLocal,BR,credit_card,364.70,BRL,captured,2026-07-19,2026-07-19
CT-202608-00296,dLocal,BR,pix,533.79,BRL,failed,2026-07-17,
CT-202608-00297,Adyen,BR,pix,780.00,BRL,captured,2026-08-14,2026-08-14
CT-202608-00298,dLocal,BR,pix,280.44,BRL,captured,2026-07-24,2026-07-24
CT-202608-00299,dLocal,BR,pix,2050.48,BRL,captured,2026-07-16,2026-07-16
CT-202608-00300,dLocal,BR,credit_card,2336.75,BRL,captured,2026-08-03,2026-08-03
CT-202608-00301,Adyen,US,debit_card,344.80,USD,captured,2026-08-02,2026-08-02
CT-202608-00302,Adyen,MX,debit_card,7831.21,MXN,captured,2026-07-16,2026-07-16
CT-202608-00303,dLocal,CO,pse,1411637,COP,captured,2026-08-02,2026-08-02
CT-202608-00304,Adyen,BR,pix,1960.64,BRL,captured,2026-08-14,2026-08-14
CT-202608-00305,Adyen,US,debit_card,391.23,USD,authorized,2026-07-28,
CT-202608-00306,Stripe,MX,credit_card,112.52,MXN,captured,2026-07-29,2026-07-29
